model,site,year,predicted
CanESM2.CRCM5-UQAM,ibp,2052,222
CanESM2.CRCM5-UQAM,ibp,2053,200
CanESM2.CRCM5-UQAM,ibp,2054,244
CanESM2.CRCM5-UQAM,ibp,2055,255
CanESM2.CRCM5-UQAM,ibp,2056,213
CanESM2.CRCM5-UQAM,ibp,2057,231
CanESM2.CRCM5-UQAM,ibp,2058,203
CanESM2.CRCM5-UQAM,ibp,2059,214
CanESM2.CRCM5-UQAM,ibp,2060,199
CanESM2.CRCM5-UQAM,ibp,2061,219
CanESM2.CRCM5-UQAM,ibp,2062,189
CanESM2.CRCM5-UQAM,ibp,2063,178
CanESM2.CRCM5-UQAM,ibp,2064,201
CanESM2.CRCM5-UQAM,ibp,2065,204
CanESM2.CRCM5-UQAM,ibp,2066,209
CanESM2.CRCM5-UQAM,ibp,2067,191
CanESM2.CRCM5-UQAM,ibp,2068,198
CanESM2.CRCM5-UQAM,ibp,2069,201
CanESM2.CRCM5-UQAM,ibp,2070,236
CanESM2.CRCM5-UQAM,ibp,2071,196
CanESM2.CRCM5-UQAM,ibp,2072,208
CanESM2.CRCM5-UQAM,ibp,2073,233
CanESM2.CRCM5-UQAM,ibp,2074,263
CanESM2.CRCM5-UQAM,ibp,2075,200
CanESM2.CRCM5-UQAM,ibp,2076,237
CanESM2.CRCM5-UQAM,ibp,2077,180
CanESM2.CRCM5-UQAM,ibp,2078,181
CanESM2.CRCM5-UQAM,ibp,2079,189
CanESM2.CRCM5-UQAM,ibp,2080,189
CanESM2.CRCM5-UQAM,ibp,2081,210
CanESM2.CRCM5-UQAM,ibp,2082,214
CanESM2.CRCM5-UQAM,ibp,2083,174
CanESM2.CRCM5-UQAM,ibp,2084,222
CanESM2.CRCM5-UQAM,ibp,2085,248
CanESM2.CRCM5-UQAM,ibp,2086,199
CanESM2.CRCM5-UQAM,ibp,2087,212
CanESM2.CRCM5-UQAM,ibp,2088,250
CanESM2.CRCM5-UQAM,ibp,2089,202
CanESM2.CRCM5-UQAM,ibp,2090,206
CanESM2.CRCM5-UQAM,ibp,2091,249
CanESM2.CRCM5-UQAM,ibp,2092,158
CanESM2.CRCM5-UQAM,ibp,2093,203
CanESM2.CRCM5-UQAM,ibp,2094,243
CanESM2.CRCM5-UQAM,ibp,2095,227
CanESM2.CRCM5-UQAM,ibp,2096,241
CanESM2.CRCM5-UQAM,ibp,2097,246
CanESM2.CRCM5-UQAM,ibp,2098,228
CanESM2.CRCM5-UQAM,ibp,2099,214
CanESM2.CRCM5-UQAM,ibp,2100,185
CanESM2.CRCM5-UQAM,kansas,2007,114
CanESM2.CRCM5-UQAM,kansas,2008,107
CanESM2.CRCM5-UQAM,kansas,2009,116
CanESM2.CRCM5-UQAM,kansas,2010,117
CanESM2.CRCM5-UQAM,kansas,2011,106
CanESM2.CRCM5-UQAM,kansas,2012,105
CanESM2.CRCM5-UQAM,kansas,2013,119
CanESM2.CRCM5-UQAM,kansas,2014,121
CanESM2.CRCM5-UQAM,kansas,2015,110
CanESM2.CRCM5-UQAM,kansas,2016,112
CanESM2.CRCM5-UQAM,kansas,2017,109
CanESM2.CRCM5-UQAM,kansas,2018,117
CanESM2.CRCM5-UQAM,kansas,2019,102
CanESM2.CRCM5-UQAM,kansas,2020,112
CanESM2.CRCM5-UQAM,kansas,2021,108
CanESM2.CRCM5-UQAM,kansas,2022,127
CanESM2.CRCM5-UQAM,kansas,2023,111
CanESM2.CRCM5-UQAM,kansas,2024,104
CanESM2.CRCM5-UQAM,kansas,2025,114
CanESM2.CRCM5-UQAM,kansas,2026,106
CanESM2.CRCM5-UQAM,kansas,2027,124
CanESM2.CRCM5-UQAM,kansas,2028,104
CanESM2.CRCM5-UQAM,kansas,2029,107
CanESM2.CRCM5-UQAM,kansas,2030,111
CanESM2.CRCM5-UQAM,kansas,2031,104
CanESM2.CRCM5-UQAM,kansas,2032,112
CanESM2.CRCM5-UQAM,kansas,2033,114
CanESM2.CRCM5-UQAM,kansas,2034,104
CanESM2.CRCM5-UQAM,kansas,2035,111
CanESM2.CRCM5-UQAM,kansas,2036,117
CanESM2.CRCM5-UQAM,kansas,2037,114
CanESM2.CRCM5-UQAM,kansas,2038,107
CanESM2.CRCM5-UQAM,kansas,2039,108
CanESM2.CRCM5-UQAM,kansas,2040,109
CanESM2.CRCM5-UQAM,kansas,2041,102
CanESM2.CRCM5-UQAM,kansas,2042,107
CanESM2.CRCM5-UQAM,kansas,2043,115
CanESM2.CRCM5-UQAM,kansas,2044,110
CanESM2.CRCM5-UQAM,kansas,2045,119
CanESM2.CRCM5-UQAM,kansas,2046,109
CanESM2.CRCM5-UQAM,kansas,2047,106
CanESM2.CRCM5-UQAM,kansas,2048,109
CanESM2.CRCM5-UQAM,kansas,2049,104
CanESM2.CRCM5-UQAM,kansas,2050,105
CanESM2.CRCM5-UQAM,kansas,2051,106
CanESM2.CRCM5-UQAM,kansas,2052,129
CanESM2.CRCM5-UQAM,kansas,2053,119
CanESM2.CRCM5-UQAM,kansas,2054,116
CanESM2.CRCM5-UQAM,kansas,2055,109
CanESM2.CRCM5-UQAM,kansas,2056,105
CanESM2.CRCM5-UQAM,kansas,2057,104
CanESM2.CRCM5-UQAM,kansas,2058,106
CanESM2.CRCM5-UQAM,kansas,2059,104
CanESM2.CRCM5-UQAM,kansas,2060,106
CanESM2.CRCM5-UQAM,kansas,2061,120
CanESM2.CRCM5-UQAM,kansas,2062,108
CanESM2.CRCM5-UQAM,kansas,2063,108
CanESM2.CRCM5-UQAM,kansas,2064,105
CanESM2.CRCM5-UQAM,kansas,2065,109
CanESM2.CRCM5-UQAM,kansas,2066,122
CanESM2.CRCM5-UQAM,kansas,2067,109
CanESM2.CRCM5-UQAM,kansas,2068,110
CanESM2.CRCM5-UQAM,kansas,2069,116
CanESM2.CRCM5-UQAM,kansas,2070,110
CanESM2.CRCM5-UQAM,kansas,2071,106
CanESM2.CRCM5-UQAM,kansas,2072,107
CanESM2.CRCM5-UQAM,kansas,2073,114
CanESM2.CRCM5-UQAM,kansas,2074,103
CanESM2.CRCM5-UQAM,kansas,2075,105
CanESM2.CRCM5-UQAM,kansas,2076,105
CanESM2.CRCM5-UQAM,kansas,2077,105
CanESM2.CRCM5-UQAM,kansas,2078,115
CanESM2.CRCM5-UQAM,kansas,2079,107
CanESM2.CRCM5-UQAM,kansas,2080,107
